epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2906,2.36406,2.15271,1.64268,0.85001,0.71667,0.80582,0.28885,2.16672,1.29855,1.644,0.00015719,0.00015719,0.00015719
2,132.397,2.10778,1.22089,1.40883,0.92176,0.8,0.87429,0.36515,1.98662,1.08865,1.46143,0.000322162,0.000322162,0.000322162
3,195.995,1.96692,1.08088,1.31001,0.91649,0.87351,0.93819,0.45606,1.84662,0.96233,1.37594,0.000480344,0.000480344,0.000480344
4,259.999,1.88058,0.96757,1.25472,0.87908,0.89901,0.92628,0.43993,1.86886,0.85657,1.39038,0.000631735,0.000631735,0.000631735
5,324.594,1.84395,0.8884,1.25165,0.9344,0.9497,0.94397,0.4427,1.84131,0.77429,1.37657,0.000776336,0.000776336,0.000776336
6,389.095,1.91694,0.86586,1.29976,0.92826,0.9795,0.94415,0.46643,1.75564,0.72957,1.33859,0.000914146,0.000914146,0.000914146
7,452.274,1.79123,0.8276,1.21467,0.92996,0.98594,0.94394,0.47222,1.74821,0.71395,1.35485,0.00104516,0.00104516,0.00104516
8,515.315,1.82313,0.79882,1.28547,0.92836,0.98569,0.9497,0.47446,1.73612,0.69556,1.34874,0.00116939,0.00116939,0.00116939
9,576.959,1.74764,0.83573,1.21682,0.9123,0.97333,0.95518,0.48576,1.714,0.72799,1.32378,0.00120265,0.00120265,0.00120265
10,639.884,1.75319,0.79703,1.23421,0.89272,0.94861,0.9438,0.48189,1.73259,0.73466,1.33323,0.00117435,0.00117435,0.00117435
11,703.126,1.7953,0.88559,1.22649,0.94281,0.98381,0.95667,0.44849,1.82244,0.72515,1.40386,0.00114606,0.00114606,0.00114606
12,763.59,1.75961,0.82095,1.19988,0.93928,0.98506,0.95259,0.45823,1.78191,0.72023,1.38663,0.00111776,0.00111776,0.00111776
13,826.253,1.64046,0.75206,1.1794,0.93419,0.9859,0.94979,0.48883,1.69405,0.66101,1.32478,0.00108947,0.00108947,0.00108947
14,890.298,1.68291,0.71076,1.21955,0.93585,0.98667,0.95352,0.48598,1.66724,0.64305,1.31596,0.00106118,0.00106118,0.00106118
15,955.359,1.72306,0.71566,1.27535,0.94038,0.98432,0.95588,0.51271,1.62576,0.6211,1.285,0.00103288,0.00103288,0.00103288
16,1017.33,1.6495,0.71986,1.19007,0.94387,0.98667,0.95913,0.50868,1.67085,0.62654,1.29566,0.00100459,0.00100459,0.00100459
17,1081.89,1.69684,0.73144,1.20951,0.94359,0.98667,0.96078,0.50908,1.69028,0.63306,1.29922,0.000976293,0.000976293,0.000976293
18,1147.25,1.68039,0.71614,1.20802,0.94527,0.98667,0.96201,0.50429,1.67731,0.62033,1.29835,0.000947999,0.000947999,0.000947999
19,1210.05,1.65001,0.70322,1.17863,0.94525,0.98667,0.96157,0.52266,1.61036,0.6201,1.2702,0.000919704,0.000919704,0.000919704
20,1274.92,1.62115,0.69298,1.18346,0.94487,0.98667,0.95625,0.52394,1.62896,0.61646,1.27636,0.00089141,0.00089141,0.00089141
21,1341.09,1.59445,0.68875,1.18548,0.944,0.98667,0.95312,0.51232,1.64633,0.59629,1.29036,0.000863116,0.000863116,0.000863116
22,1404.36,1.64317,0.68533,1.2003,0.94441,0.98667,0.95261,0.51801,1.65723,0.59513,1.29909,0.000834822,0.000834822,0.000834822
23,1468.61,1.62573,0.68142,1.23461,0.94469,0.98667,0.95542,0.50606,1.66957,0.60336,1.3066,0.000806528,0.000806528,0.000806528
24,1532.8,1.56839,0.65176,1.18342,0.94465,0.98667,0.9571,0.5239,1.63297,0.60288,1.29131,0.000778233,0.000778233,0.000778233
25,1597.72,1.55343,0.65356,1.21265,0.9447,0.98425,0.95665,0.53109,1.56498,0.59811,1.25736,0.000749939,0.000749939,0.000749939
26,1661.82,1.62016,0.70747,1.17018,0.94552,0.98484,0.95526,0.5316,1.55728,0.59739,1.25807,0.000721645,0.000721645,0.000721645
27,1725.93,1.52612,0.66099,1.16172,0.9455,0.98614,0.95598,0.5292,1.60474,0.59458,1.27478,0.000693351,0.000693351,0.000693351
28,1790.19,1.4853,0.64548,1.13017,0.9443,0.98667,0.95664,0.51947,1.65011,0.59149,1.29066,0.000665057,0.000665057,0.000665057
29,1856.18,1.61367,0.65091,1.20675,0.94266,0.98667,0.95654,0.51342,1.67367,0.59961,1.29561,0.000636762,0.000636762,0.000636762
30,1920.34,1.49012,0.63658,1.15168,0.94149,0.98667,0.95562,0.5091,1.67691,0.60044,1.29349,0.000608468,0.000608468,0.000608468
31,1984.74,1.60511,0.65276,1.17945,0.94357,0.98667,0.95545,0.49316,1.67983,0.57744,1.28927,0.000580174,0.000580174,0.000580174
32,2049.53,1.50657,0.65243,1.17755,0.94524,0.98667,0.95471,0.50455,1.67235,0.57432,1.2889,0.00055188,0.00055188,0.00055188
33,2114.62,1.49951,0.66939,1.16593,0.94493,0.98667,0.95735,0.50772,1.62652,0.57149,1.27093,0.000523586,0.000523586,0.000523586
34,2179.6,1.51933,0.64607,1.14934,0.94441,0.98667,0.95826,0.50219,1.60024,0.57141,1.25625,0.000495291,0.000495291,0.000495291
35,2244.87,1.50794,0.63829,1.14635,0.94369,0.98667,0.95445,0.50333,1.60996,0.56374,1.26253,0.000466997,0.000466997,0.000466997
36,2310.95,1.51213,0.63822,1.1152,0.94482,0.98667,0.95132,0.49807,1.63777,0.55875,1.27721,0.000438703,0.000438703,0.000438703
37,2375.71,1.52175,0.60237,1.14761,0.94344,0.98667,0.95347,0.49536,1.67552,0.55965,1.30848,0.000410409,0.000410409,0.000410409
38,2440.67,1.53661,0.64422,1.16291,0.94268,0.98667,0.95507,0.49422,1.66271,0.55968,1.30282,0.000382115,0.000382115,0.000382115
39,2506.62,1.56503,0.63453,1.16006,0.94228,0.98667,0.95559,0.51352,1.61783,0.54667,1.27484,0.00035382,0.00035382,0.00035382
40,2570.87,1.46364,0.62261,1.10185,0.94248,0.98667,0.95518,0.51253,1.60193,0.53981,1.2642,0.000325526,0.000325526,0.000325526
41,2633.09,1.5003,0.57776,1.23335,0.94451,0.98667,0.96104,0.52434,1.58358,0.5386,1.25025,0.000297232,0.000297232,0.000297232
42,2690.3,1.46303,0.55585,1.21695,0.94462,0.98667,0.96507,0.51951,1.57558,0.54133,1.24816,0.000268938,0.000268938,0.000268938
43,2748.67,1.50434,0.57175,1.19435,0.94453,0.98667,0.96445,0.52227,1.58035,0.54306,1.25259,0.000240644,0.000240644,0.000240644
44,2805.36,1.45999,0.57582,1.19268,0.94427,0.98667,0.96486,0.51965,1.58927,0.54189,1.25632,0.000212349,0.000212349,0.000212349
45,2865.08,1.48891,0.59038,1.2061,0.94351,0.98667,0.96089,0.51822,1.59786,0.53909,1.25925,0.000184055,0.000184055,0.000184055
46,2923.36,1.45931,0.56576,1.20788,0.94293,0.98667,0.95963,0.5162,1.59292,0.53872,1.25667,0.000155761,0.000155761,0.000155761
