epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36329,0,1.39739,0,0,0,0,0,0,0.28262,0,0,0,0
2,3.11062,0,1.39671,0,0,0,0,0,0,0.28275,0,1.14606e-05,1.14606e-05,1.14606e-05
3,4.87785,0,1.42589,0,0,0,0,0,0,0.28288,0,1.72623e-05,1.72623e-05,1.72623e-05
4,6.64906,0,1.39629,0,0,0,0,0,0,0.283,0,1.74052e-05,1.74052e-05,1.74052e-05
5,8.43195,0,1.38385,0,0,0,0,0,0,0.28312,0,1.18893e-05,1.18893e-05,1.18893e-05
