epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.103,2.86544,4.45941,1.98604,0.00371,0.31638,0.06899,0.01508,1.77729,4.04973,1.21617,0.00034296,0.00034296,0.00034296
2,238.086,1.96036,2.5596,1.3361,0.00804,0.80226,0.28596,0.10013,1.60704,3.53503,1.25873,0.000693278,0.000693278,0.000693278
3,352.945,1.83752,1.97917,1.37247,0.00892,0.88701,0.47831,0.19118,1.70278,3.32471,1.35773,0.00103652,0.00103652,0.00103652
4,470.598,1.80321,1.65551,1.43738,0.97945,0.10827,0.74724,0.33328,1.75444,2.88425,1.43284,0.00137269,0.00137269,0.00137269
5,588.941,1.76204,1.54712,1.36293,0.80716,0.60021,0.85595,0.3749,1.74772,2.23383,1.41548,0.00137241,0.00137241,0.00137241
6,707.647,1.73122,1.49047,1.42255,0.77051,0.89294,0.90867,0.42686,1.77702,1.50257,1.47599,0.00135826,0.00135826,0.00135826
7,819.997,1.7299,1.40932,1.41989,0.89769,0.87636,0.94911,0.46553,1.76247,1.37597,1.48018,0.00134412,0.00134412,0.00134412
