epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.721,2.13979,3.22918,1.60503,0.01,0.98978,0.6496,0.30412,1.53957,3.21617,1.24652,0.000468121,0.000468121,0.000468121
2,561.121,1.59394,1.54743,1.29676,0.96125,0.91276,0.97861,0.48618,1.64668,1.8734,1.26083,0.000935104,0.000935104,0.000935104
3,832.563,1.59917,1.34992,1.26506,0.98273,0.97104,0.98263,0.53703,1.56821,1.28451,1.19686,0.00139266,0.00139266,0.00139266
4,1107.6,1.52833,1.22105,1.25403,0.98158,0.99205,0.9876,0.53998,1.52444,1.16041,1.27335,0.00138656,0.00138656,0.00138656
5,1381.58,1.4846,1.08583,1.17616,0.9836,0.99248,0.98437,0.51908,1.56278,1.28201,1.21587,0.00137241,0.00137241,0.00137241
6,1654.07,1.46996,1.06163,1.18836,0.98645,0.99214,0.98633,0.55754,1.47372,1.00512,1.18651,0.00135826,0.00135826,0.00135826
7,6686.99,1.48778,0.98565,1.20427,0.97825,0.98776,0.98826,0.56023,1.51337,0.9491,1.21144,0.00134412,0.00134412,0.00134412
8,6989.03,1.44637,0.88562,1.1622,0.98656,0.99248,0.98557,0.55947,1.4993,0.87226,1.22957,0.00132997,0.00132997,0.00132997
9,7296.42,1.49488,0.88381,1.22215,0.98541,0.99248,0.98523,0.55957,1.49356,0.83793,1.17898,0.00131582,0.00131582,0.00131582
10,13184.1,1.45648,0.83222,1.1914,0.98569,0.99248,0.98389,0.51297,1.59696,0.84933,1.32018,0.00130168,0.00130168,0.00130168
11,13442,1.47888,0.82047,1.2085,0.98635,0.99039,0.98654,0.5513,1.51299,0.7608,1.22423,0.00128753,0.00128753,0.00128753
12,13734.1,1.49135,0.79227,1.20561,0.98477,0.99209,0.98669,0.55849,1.4972,0.77147,1.26253,0.00127338,0.00127338,0.00127338
13,14026.4,1.43107,0.7594,1.18402,0.98428,0.99248,0.98295,0.55546,1.49412,0.76206,1.18979,0.00125923,0.00125923,0.00125923
14,14300.5,1.47273,0.75314,1.20858,0.98519,0.98491,0.98786,0.55607,1.53748,0.79598,1.27913,0.00124509,0.00124509,0.00124509
15,14573.3,1.47248,0.7487,1.22028,0.98609,0.99248,0.98477,0.55391,1.52639,0.72354,1.26555,0.00123094,0.00123094,0.00123094
16,14841.4,1.42147,0.70463,1.19322,0.98527,0.99248,0.98587,0.57168,1.49324,0.70823,1.26852,0.00121679,0.00121679,0.00121679
17,15104.6,1.44271,0.70392,1.20805,0.98018,0.99067,0.98391,0.57138,1.49627,0.67067,1.26521,0.00120265,0.00120265,0.00120265
18,15365.6,1.43886,0.73524,1.18957,0.98594,0.99217,0.98459,0.56897,1.49135,0.70972,1.28557,0.0011885,0.0011885,0.0011885
19,15626.9,1.41723,0.6648,1.20332,0.98638,0.99248,0.98334,0.58183,1.46404,0.63835,1.25946,0.00117435,0.00117435,0.00117435
20,15890.5,1.41922,0.65735,1.19592,0.98657,0.99248,0.98758,0.5801,1.46822,0.65877,1.25476,0.00116021,0.00116021,0.00116021
21,16152.8,1.41971,0.64505,1.20348,0.98549,0.98994,0.98662,0.5571,1.53029,0.65829,1.3235,0.00114606,0.00114606,0.00114606
22,16416.9,1.43797,0.66862,1.19862,0.98557,0.99198,0.98845,0.57394,1.47374,0.61128,1.24799,0.00113191,0.00113191,0.00113191
23,16681,1.43095,0.6298,1.21552,0.98547,0.99203,0.98831,0.57894,1.48225,0.60555,1.26075,0.00111776,0.00111776,0.00111776
24,16943.5,1.41329,0.64201,1.20117,0.98648,0.99248,0.98741,0.56006,1.49101,0.6198,1.27432,0.00110362,0.00110362,0.00110362
25,17213.9,1.43388,0.6496,1.21891,0.98675,0.99248,0.98839,0.56507,1.4914,0.62904,1.27041,0.00108947,0.00108947,0.00108947
26,17484,1.40954,0.62658,1.19333,0.98647,0.99039,0.98685,0.57208,1.48931,0.63484,1.2782,0.00107532,0.00107532,0.00107532
27,17763.6,1.43192,0.62254,1.2107,0.98637,0.99248,0.98842,0.58319,1.46053,0.58743,1.26074,0.00106118,0.00106118,0.00106118
28,18046.9,1.42615,0.61022,1.20202,0.98668,0.99248,0.98707,0.58758,1.46619,0.59488,1.25544,0.00104703,0.00104703,0.00104703
29,29217.1,1.40265,0.59644,1.18759,0.9856,0.99209,0.98441,0.58227,1.47754,0.60047,1.28087,0.00103288,0.00103288,0.00103288
30,29483.6,1.39108,0.58635,1.1965,0.9866,0.98999,0.98605,0.58027,1.52202,0.58605,1.33106,0.00101873,0.00101873,0.00101873
31,29764.7,1.40112,0.5928,1.19825,0.98644,0.99248,0.98869,0.57831,1.52926,0.59031,1.35677,0.00100459,0.00100459,0.00100459
32,30045.6,1.38227,0.57909,1.20646,0.98607,0.99017,0.98728,0.58583,1.50205,0.58801,1.34553,0.00099044,0.00099044,0.00099044
33,30319,1.39753,0.60668,1.19767,0.98628,0.99248,0.98786,0.57204,1.47349,0.57435,1.31231,0.000976293,0.000976293,0.000976293
34,30598.1,1.40939,0.59952,1.20673,0.98601,0.99032,0.989,0.55827,1.54266,0.59955,1.38894,0.000962146,0.000962146,0.000962146
35,30874.9,1.39424,0.56993,1.20378,0.98659,0.99248,0.98948,0.58818,1.50524,0.5793,1.33812,0.000947999,0.000947999,0.000947999
36,31154.5,1.4103,0.59297,1.20546,0.98612,0.99248,0.98622,0.57147,1.52766,0.58454,1.35093,0.000933851,0.000933851,0.000933851
37,31436.8,1.40046,0.58853,1.18965,0.98666,0.99248,0.98656,0.57578,1.51396,0.57652,1.34869,0.000919704,0.000919704,0.000919704
38,31720.2,1.38365,0.56431,1.18657,0.98663,0.99248,0.98715,0.59121,1.4699,0.54424,1.28683,0.000905557,0.000905557,0.000905557
39,32005.1,1.39808,0.57294,1.1929,0.98654,0.99248,0.98704,0.5648,1.53384,0.58036,1.36729,0.00089141,0.00089141,0.00089141
40,32289.3,1.41587,0.57888,1.20197,0.98664,0.99248,0.98808,0.56953,1.53976,0.60851,1.40352,0.000877263,0.000877263,0.000877263
41,32571.3,1.3808,0.5582,1.20957,0.98674,0.99248,0.98815,0.59612,1.46027,0.55676,1.29456,0.000863116,0.000863116,0.000863116
42,32855.6,1.35963,0.55671,1.19779,0.98653,0.99248,0.98955,0.59884,1.45009,0.55248,1.2725,0.000848969,0.000848969,0.000848969
43,33140.6,1.42185,0.57254,1.21091,0.9858,0.99248,0.99079,0.59532,1.4469,0.52508,1.26811,0.000834822,0.000834822,0.000834822
44,33423.2,1.38645,0.55059,1.18452,0.98646,0.99248,0.98764,0.58968,1.45792,0.5481,1.29608,0.000820675,0.000820675,0.000820675
45,33707.6,1.33906,0.5343,1.16561,0.9852,0.98994,0.9867,0.59622,1.45376,0.53838,1.265,0.000806528,0.000806528,0.000806528
46,33994.5,1.34857,0.53751,1.16819,0.98644,0.98994,0.98335,0.57799,1.47449,0.55649,1.29581,0.00079238,0.00079238,0.00079238
47,34279.5,1.38474,0.54385,1.18291,0.98656,0.99248,0.98361,0.57786,1.49239,0.5493,1.31113,0.000778233,0.000778233,0.000778233
48,34562.9,1.3712,0.55091,1.19323,0.98643,0.99248,0.98724,0.58674,1.47686,0.54835,1.29853,0.000764086,0.000764086,0.000764086
49,34848.1,1.35788,0.53843,1.17022,0.98665,0.99043,0.98361,0.58136,1.47159,0.55149,1.30778,0.000749939,0.000749939,0.000749939
50,35134.2,1.36998,0.54498,1.18876,0.98376,0.99014,0.98612,0.59181,1.48342,0.54616,1.31851,0.000735792,0.000735792,0.000735792
51,35418.6,1.39973,0.56209,1.21419,0.98632,0.99248,0.98662,0.59609,1.46716,0.52753,1.28486,0.000721645,0.000721645,0.000721645
52,35704.2,1.40236,0.55003,1.19704,0.98629,0.99248,0.98379,0.591,1.47998,0.53012,1.30505,0.000707498,0.000707498,0.000707498
53,35988.8,1.34503,0.54089,1.17283,0.98552,0.9921,0.98517,0.58797,1.47299,0.53455,1.2882,0.000693351,0.000693351,0.000693351
54,36271.8,1.38801,0.532,1.19389,0.98669,0.99248,0.98714,0.59676,1.45952,0.54069,1.30997,0.000679204,0.000679204,0.000679204
55,36555,1.37151,0.53497,1.1922,0.98643,0.99248,0.98838,0.59049,1.49181,0.52608,1.36466,0.000665057,0.000665057,0.000665057
56,36841.9,1.35049,0.5287,1.18435,0.98642,0.99248,0.9887,0.58859,1.46904,0.53465,1.29438,0.000650909,0.000650909,0.000650909
57,37123.3,1.36584,0.52645,1.18038,0.98645,0.99248,0.98451,0.59225,1.48465,0.53437,1.31514,0.000636762,0.000636762,0.000636762
58,37408.6,1.33804,0.52516,1.17518,0.98574,0.99248,0.98746,0.59329,1.49399,0.52487,1.31623,0.000622615,0.000622615,0.000622615
59,37694.9,1.35726,0.5186,1.17414,0.98607,0.99248,0.98703,0.59362,1.46772,0.52535,1.28301,0.000608468,0.000608468,0.000608468
