epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.773,2.86544,4.45941,1.98604,0.00371,0.31638,0.06899,0.01508,1.77729,4.04973,1.21617,0.00034296,0.00034296,0.00034296
2,240.779,1.96036,2.5596,1.3361,0.00804,0.80226,0.28596,0.10013,1.60704,3.53503,1.25873,0.000693278,0.000693278,0.000693278
3,360.631,1.83752,1.97917,1.37247,0.00892,0.88701,0.47831,0.19118,1.70278,3.32471,1.35773,0.00103652,0.00103652,0.00103652
4,481.722,1.80321,1.65551,1.43738,0.97945,0.10827,0.74724,0.33328,1.75444,2.88425,1.43284,0.00137269,0.00137269,0.00137269
5,602.295,1.76204,1.54712,1.36293,0.80716,0.60021,0.85595,0.3749,1.74772,2.23383,1.41548,0.00137241,0.00137241,0.00137241
6,723.504,1.73122,1.49047,1.42255,0.77051,0.89294,0.90867,0.42686,1.77702,1.50257,1.47599,0.00135826,0.00135826,0.00135826
7,839.69,1.7299,1.40932,1.41989,0.89769,0.87636,0.94911,0.46553,1.76247,1.37597,1.48018,0.00134412,0.00134412,0.00134412
8,955.935,1.61086,1.27822,1.33193,0.86986,0.95645,0.90604,0.43711,1.71064,1.35016,1.45533,0.00132997,0.00132997,0.00132997
9,1070.79,1.64835,1.20434,1.35905,0.92243,0.97129,0.97951,0.47995,1.68433,1.24983,1.48073,0.00131582,0.00131582,0.00131582
10,1189.92,1.67852,1.11832,1.34594,0.92686,0.96518,0.95747,0.46107,1.77034,1.12768,1.56446,0.00130168,0.00130168,0.00130168
11,1307.2,1.65562,1.136,1.34457,0.9597,0.96668,0.97404,0.48318,1.70996,1.0828,1.50576,0.00128753,0.00128753,0.00128753
12,1425.21,1.62698,1.09107,1.35978,0.9768,0.98305,0.98336,0.47628,1.74543,1.07409,1.51215,0.00127338,0.00127338,0.00127338
13,1545.36,1.66642,1.06171,1.36788,0.95843,0.9661,0.96255,0.46129,1.72978,1.1537,1.50445,0.00125923,0.00125923,0.00125923
14,1666.69,1.62052,1.09446,1.33108,0.95456,0.97259,0.97244,0.48468,1.65186,1.13615,1.45982,0.00124509,0.00124509,0.00124509
15,1786.58,1.63931,1.05663,1.35037,0.96829,0.98305,0.97839,0.48799,1.65211,1.04203,1.47894,0.00123094,0.00123094,0.00123094
16,1905.26,1.5783,0.97886,1.29483,0.96335,0.97055,0.96492,0.49656,1.64074,1.03634,1.45346,0.00121679,0.00121679,0.00121679
17,2024.65,1.67065,1.03198,1.36201,0.95196,0.96045,0.94679,0.46457,1.74538,1.05719,1.53454,0.00120265,0.00120265,0.00120265
