epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.332,2.16043,3.21657,1.56443,0.24951,0.21372,0.20783,0.09744,1.65485,3.05002,1.20706,0.00046943,0.00046943,0.00046943
2,688.622,1.70211,1.68296,1.25087,0.89799,0.88881,0.95185,0.48203,1.70393,1.67121,1.19483,0.000937961,0.000937961,0.000937961
3,1035.11,1.61557,1.35788,1.21836,0.97358,0.93117,0.97248,0.49569,1.63297,1.2723,1.20758,0.00139863,0.00139863,0.00139863
4,1388.7,1.60347,1.24774,1.22748,0.92986,0.91469,0.94565,0.47268,1.68884,1.33252,1.23107,0.00139363,0.00139363,0.00139363
5,1746.07,1.58867,1.13085,1.22116,0.97021,0.96355,0.9821,0.50211,1.63889,1.05065,1.19631,0.00138184,0.00138184,0.00138184
6,2103.92,1.54575,1.04554,1.18115,0.96644,0.98944,0.9773,0.52018,1.57622,1.01307,1.17435,0.00137005,0.00137005,0.00137005
7,2457.89,1.5536,0.97624,1.18543,0.94539,0.96355,0.97569,0.52574,1.58554,0.99182,1.2085,0.00135826,0.00135826,0.00135826
8,2813.49,1.53455,0.93672,1.19111,0.97344,0.98707,0.97796,0.50796,1.58935,0.90551,1.22471,0.00134648,0.00134648,0.00134648
9,3169.03,1.49867,0.87607,1.16644,0.9779,0.98667,0.98214,0.54942,1.56116,0.82823,1.18121,0.00133469,0.00133469,0.00133469
10,3520.34,1.5252,0.86116,1.18493,0.97221,0.98878,0.9844,0.53061,1.61211,0.85946,1.27358,0.0013229,0.0013229,0.0013229
11,3872.78,1.52174,0.83146,1.18473,0.97737,0.99157,0.98779,0.55888,1.50907,0.80528,1.20774,0.00131111,0.00131111,0.00131111
12,4226.84,1.49518,0.79866,1.17503,0.97986,0.98528,0.98118,0.54578,1.52442,0.79819,1.19552,0.00129932,0.00129932,0.00129932
13,4583.71,1.4995,0.79313,1.18373,0.97778,0.98948,0.98241,0.55124,1.54536,0.76537,1.17268,0.00128753,0.00128753,0.00128753
14,4937.3,1.52956,0.78731,1.18387,0.9789,0.99077,0.98392,0.55388,1.53817,0.77057,1.21299,0.00127574,0.00127574,0.00127574
15,5294.7,1.51881,0.76949,1.18924,0.97962,0.99157,0.98112,0.56327,1.53051,0.72231,1.19618,0.00126395,0.00126395,0.00126395
16,5645.95,1.49733,0.73296,1.1774,0.97046,0.98728,0.98423,0.55635,1.51177,0.69773,1.1915,0.00125216,0.00125216,0.00125216
17,6000.86,1.5059,0.73823,1.17234,0.97975,0.99157,0.98649,0.57137,1.51551,0.67804,1.19483,0.00124037,0.00124037,0.00124037
18,6356.57,1.47759,0.69624,1.17747,0.97552,0.99157,0.98206,0.56749,1.4871,0.67067,1.18879,0.00122858,0.00122858,0.00122858
19,6714.92,1.47456,0.69412,1.16253,0.97851,0.99157,0.98304,0.56646,1.51316,0.669,1.20536,0.00121679,0.00121679,0.00121679
20,7070.15,1.4776,0.67166,1.16116,0.97685,0.99157,0.98386,0.55358,1.55621,0.69209,1.17208,0.001205,0.001205,0.001205
21,7423.08,1.45513,0.68578,1.15288,0.97542,0.98941,0.98108,0.53661,1.61347,0.64446,1.27183,0.00119322,0.00119322,0.00119322
22,7780.3,1.48136,0.66567,1.18253,0.98207,0.99367,0.98591,0.55979,1.53399,0.65343,1.18731,0.00118143,0.00118143,0.00118143
23,8133.83,1.47105,0.66619,1.15888,0.97943,0.99157,0.97974,0.56051,1.52755,0.6354,1.22174,0.00116964,0.00116964,0.00116964
24,8491.02,1.46602,0.66603,1.17474,0.97903,0.99157,0.98142,0.54928,1.5499,0.63537,1.28591,0.00115785,0.00115785,0.00115785
25,8844.49,1.46793,0.65434,1.18571,0.9791,0.99157,0.97974,0.55013,1.55111,0.65491,1.25727,0.00114606,0.00114606,0.00114606
26,9202.79,1.47019,0.64569,1.1746,0.97929,0.99157,0.98296,0.56859,1.51213,0.60812,1.21622,0.00113427,0.00113427,0.00113427
27,9559.3,1.45,0.64041,1.17525,0.97951,0.99157,0.9861,0.57304,1.52245,0.60925,1.21799,0.00112248,0.00112248,0.00112248
28,9915.95,1.47286,0.64552,1.16315,0.9781,0.99095,0.98499,0.5743,1.4989,0.61185,1.24627,0.00111069,0.00111069,0.00111069
29,10272.5,1.46239,0.63642,1.16848,0.98004,0.99157,0.98422,0.56652,1.52383,0.60253,1.24052,0.0010989,0.0010989,0.0010989
30,10625.8,1.41959,0.61768,1.15052,0.97893,0.99157,0.98043,0.56847,1.50666,0.59642,1.22965,0.00108711,0.00108711,0.00108711
31,10981.5,1.43849,0.61143,1.16478,0.97988,0.99157,0.98093,0.56609,1.50985,0.58326,1.20884,0.00107532,0.00107532,0.00107532
32,11332,1.45449,0.61903,1.16678,0.97996,0.99157,0.98267,0.56244,1.54691,0.60644,1.25064,0.00106353,0.00106353,0.00106353
33,11686.7,1.44547,0.61574,1.1764,0.97897,0.99157,0.98423,0.55381,1.59543,0.6022,1.30643,0.00105174,0.00105174,0.00105174
34,12043,1.44642,0.61409,1.16852,0.97923,0.99157,0.98501,0.57079,1.50067,0.60857,1.23083,0.00103995,0.00103995,0.00103995
35,12395.9,1.45131,0.6093,1.17682,0.98009,0.98775,0.98541,0.57648,1.4973,0.58735,1.23571,0.00102817,0.00102817,0.00102817
36,12749,1.43891,0.59203,1.17111,0.98022,0.99157,0.98235,0.57236,1.50259,0.56655,1.24178,0.00101638,0.00101638,0.00101638
37,13104.6,1.43721,0.5996,1.15964,0.98004,0.99157,0.98326,0.57391,1.50822,0.5892,1.23825,0.00100459,0.00100459,0.00100459
38,13458.3,1.43178,0.60016,1.14739,0.98196,0.99367,0.98415,0.55079,1.5944,0.60074,1.28622,0.000992798,0.000992798,0.000992798
39,13811.4,1.44978,0.59713,1.1694,0.98026,0.99157,0.98258,0.57838,1.5339,0.57231,1.23461,0.000981008,0.000981008,0.000981008
40,14166.4,1.43254,0.59549,1.159,0.97991,0.99157,0.98406,0.57142,1.50882,0.58576,1.25303,0.000969219,0.000969219,0.000969219
41,14520.6,1.42808,0.5781,1.1691,0.98149,0.99331,0.98522,0.57474,1.53956,0.56729,1.26162,0.00095743,0.00095743,0.00095743
42,14877.5,1.40649,0.58525,1.16141,0.97896,0.98984,0.98113,0.56391,1.56569,0.58125,1.30613,0.000945641,0.000945641,0.000945641
43,15230.1,1.43522,0.57921,1.16996,0.97957,0.99157,0.9827,0.583,1.51356,0.56636,1.23922,0.000933851,0.000933851,0.000933851
44,15589,1.39848,0.5741,1.14686,0.98029,0.99157,0.98397,0.57909,1.55193,0.56696,1.27952,0.000922062,0.000922062,0.000922062
45,15944.3,1.41173,0.58857,1.16064,0.97993,0.99157,0.98411,0.56825,1.5622,0.55839,1.30044,0.000910273,0.000910273,0.000910273
46,16301.5,1.39966,0.5771,1.15336,0.97914,0.99157,0.98503,0.57321,1.52197,0.57279,1.27179,0.000898484,0.000898484,0.000898484
47,16662.9,1.39759,0.56298,1.16469,0.97952,0.99157,0.98376,0.57419,1.54104,0.56881,1.27331,0.000886694,0.000886694,0.000886694
48,17016.3,1.38892,0.56913,1.16143,0.98014,0.99157,0.98298,0.57102,1.51771,0.54981,1.27766,0.000874905,0.000874905,0.000874905
